"","teams_d","ScoreDiff","RoundPoints","LevRoundPts","favWin","score_dxLRPts","score_dxRPts","seed_d","ws.40_d","aBPM_d","TS_d","TOV_d","StlBlk_d","OR_d","PER_d","depth_d"
"234","iowa oregon 2021",-15,2,1.5,0,-22.5,-30,NA,1.09025779540439,2.94446603831661,-5.09931051705267,1.10520581296592,-0.495889771260376,0.0512770680057867,0.244744565347742,2
"235","gonzaga creighton 2021",18,4,1.75,1,31.5,72,NA,3.12849708613957,3.36114763736473,-5.19976002154262,-0.0120040195729469,0.0764736292403541,0.089459629149469,0.458016772407544,-1
"236","southern-california oregon 2021",14,4,1.75,1,24.5,56,NA,0.470505757795637,0.813966692956166,-5.12719310943833,-0.397133270759708,-0.468945569646674,0.104841197394608,-0.0847281068894198,2
"237","gonzaga southern-california 2021",17,8,1.875,1,31.875,136,NA,3.15643596324272,3.90080157625974,-4.83500472420838,0.574060587969255,0.363572806786308,-0.120349102757754,0.579989888409844,-2
"238","michigan louisiana-state 2021",8,2,1.5,1,12,16,NA,1.12786488487329,2.65694413695913,-5.18291025926536,-0.579651537234469,-0.824141434602083,-0.0965715775854511,0.0191123105570689,-2
"239","florida-state colorado 2021",18,2,1.5,1,27,36,NA,-0.8285719094322,0.329353895045831,-5.14300125297954,-1.61842448768594,3.94722179529812,0.120142475437672,0.0293941445326997,0
"240","ucla abilene-christian 2021",20,2,1.5,1,30,40,NA,-2.34261726708328,3.47992774845356,-5.02699888298889,1.77947274264928,-4.90763571504553,-0.0226885466940961,0.0031626018505154,-1
"241","alabama maryland 2021",19,2,1.5,1,28.5,38,NA,0.842497765346891,0.715881306794403,-5.13951408328831,-0.672479342288374,2.22339385619887,0.151592041181783,-0.0107938819753659,2
"242","michigan florida-state 2021",18,4,1.75,1,31.5,72,NA,0.922011423605453,1.94557366075323,-5.14246489986978,0.994868785813487,-3.02067490138656,-0.166734107338523,0.0985883115336978,-3
"243","alabama ucla 2021",-10,4,1.75,0,-17.5,-40,NA,0.632040247775931,0.737681885610391,-4.97564066527431,-1.55866665477582,3.41108571080037,-0.0425597683571278,-0.107728929977487,0
"244","michigan ucla 2021",-2,8,1.875,0,-3.75,-16,NA,1.33741964437252,2.29258997463028,-4.93274334422709,-1.02076597042815,1.33457575904259,-0.0706912759973132,0.153911457261021,-3
"245","baylor wisconsin 2021",13,2,1.5,1,19.5,26,NA,2.86282397089911,1.64585506598223,-4.75479225303735,-1.73187518572873,2.4157327314652,0.289808427345902,0.448964182350744,0
"246","villanova north-texas 2021",23,2,1.5,1,34.5,46,NA,-0.0206235088779199,3.15345635559838,-5.1866119873817,3.26760605107256,-2.31508146653778,0.0487293905211525,0.166811966881841,-1
"247","arkansas texas-tech 2021",2,2,1.5,1,3,4,NA,-0.180118962331851,-0.218737692325003,-4.86400470132061,-0.683118660926925,0.0213011474667191,-0.0464699419381096,-0.0108354403124583,1
"248","florida oral-roberts 2021",-3,2,1.5,0,-4.5,-6,NA,-0.129780596116214,4.99620487085999,-5.34155327137525,-1.89893052775474,4.27856241003568,0.134108140262341,-0.056901501341607,0
"249","baylor villanova 2021",11,4,1.75,1,19.25,44,NA,2.08422106708545,1.82208698736889,-5.09333462558866,-2.02451472600848,5.20837316017316,0.179901768025711,0.307459882482469,2
"250","arkansas oral-roberts 2021",2,4,1.75,1,3.5,8,NA,0.833816509107574,5.13202634415392,-5.36461405882409,-0.608678165113065,3.09817579097705,0.209448944362481,0.0093299734841878,2
"251","baylor arkansas 2021",9,8,1.875,1,16.875,72,NA,1.7650102009951,2.16364300294611,-4.91958030042704,-0.132053671809819,0.274622263298419,0.0980159133052834,0.292843423661297,-1
"252","illinois loyola-il 2021",-13,2,1.5,0,-19.5,-26,NA,-1.30491972345891,2.07148964197023,-5.433494351621,0.00472479802554115,-2.18012944570612,0.0950749909364818,-0.0252150981055856,0
"253","oklahoma-state oregon-state 2021",-10,2,1.5,0,-15,-20,NA,0.217168952626482,1.88671495886772,-4.88937297660197,-1.9709994099078,1.21211427971035,-0.0421416073000945,-0.0340752602176979,0
